skill,score
Milling,1.8376608561975327e-05
Capital IQ (Software),0.048565701107585756
Query Performance,28.64389527111057
Wrike,0.022972661730939842
Integrative Medicine,0.06067956147163924
Synchro (Traffic Simulation Software),0.06067956147163924
Software Architecture,0.15869076569863025
Medical Terminology,0.018680010119660778
Requirements Management,0.04456766108983096
Urgent Care,0.03975377274070853
Splunk Development,0.017313390495174386
Differential Equations,0.02336797816446136
Audio Production,0.038367457107629455
Aseptic Processing,0.03793161714798527
BigTable,0.07586323429597054
Quality Management Systems (QMS) Auditing,0.24266311606087107
Mean Stack,0.18033838870772104
FedRAMP,0.07315610670763299
System Migration,0.03288171269852733
Microsoft Dynamics Sl,0.15775583386112482
Service Accounts,0.01694837854453769
Factoring (Finance),0.24266311606087107
Open Access,0.24266311606087107
Print Binding,0.06203046630592683
Rundeck,0.04040403669159423
Factor Analysis,0.009044047903775674
Informatica Powercenter,0.30249828794248457
Employee Surveys,0.1061754501189472
Card Sorting,0.01594509309224783
Tigerpaw One,0.0038097006625043063
Plotters,0.037528430361220645
Network Printers,0.39035000118256596
Data Governance,1.8727129244145013
Data Normalization,0.7320499858809849
Qualitative Analysis,0.07727865080543712
Legal Databases,0.06067956147163924
Civil Engineering,0.1822040738919755
Linux Support,5.5129825685912085e-05
Nuclear Magnetic Resonance,0.03793161714798527
HTML Emails,0.13740672503822865
Customer Complaint Resolution,0.10691069822751177
Oracle Application Server,1.951657476919264
WYSIWYG,0.027536512629729355
Global Positioning Systems,0.06351914698595472
Joint Application Design (JAD),0.08321162658621144
Quickbase,5.5129825685912085e-05
Ab Initio (Software),1.3349503523760633
Software As A Service (SaaS),0.9755527507390138
Reservoir Engineering,0.1061754501189472
Process Transformation,1.8376608561975327e-05
Nmap,0.35561157402211746
Ansible Tower,0.04462420872801956
Yardi (Property Management Software),0.020563096827124955
Sales Brochures,0.24266311606087107
IMacros,0.06067956147163924
Point Of Sale,0.059663799481895013
Access Rules,0.03635995770072241
Rexx (Programming Language),0.3239462769076094
Loan Servicing,0.14932236119344816
Management Accounting,0.05606072433456988
Myocardial Infarction,0.24266311606087107
EMC Avamar,0.08102859268593213
Business Process Management,0.08837234488251115
Foreign Keys,1.9500007970853965
Distance Learning,0.2202454248546418
INgage Networks,0.24266311606087107
Codebase,0.2350485093809268
Freeipa,0.09804627460450303
Middleware,1.2901950665933688
Confusion Matrix,0.00931411337037299
Product Photography,0.026502515160472355
Resource Allocation,0.07959549966357098
Cutover Planning And Management,0.019813164596674825
Requisition,0.09536147228767394
Microsoft Sysprep,0.03399269194996817
Legal Transcription,0.24266311606087107
Pattern Making,0.09536147228767394
Statistical Analysis,0.5905742445158162
Business Systems,0.33768244484825344
Internetwork Packet Exchange/Sequenced Packet Exchange (IPX/SPX),0.035893565604778334
Full-Text Search,0.03316150898051081
MicroStation (CAD Design Software),0.13278822493079145
Outcome And Assessment Information Set (OASIS),0.16941009524504327
Guidance Navigation And Control Systems,0.24266311606087107
SonarQube,0.10266330878066594
Windows Presentation Foundation,0.3463413163377356
Event Management,0.20612515970244677
Document Processing,0.08376248285395098
Design Verification,0.01736852032086031
Test Tools,0.6370268947287336
Networking Cables,0.19603563031445775
Network Testing,0.024852709185299707
Er Diagrams,0.4125341648504948
Handlebars.js (Javascript Library),0.02964965433782169
Role Hierarchy,0.049990347686352826
Quantum Physics,0.24266311606087107
Digital Audio Player,0.0038097006625043063
Geocoding,0.008684260160430154
Molecular Engineering,0.24266311606087107
Financial Software,0.06452671640695126
Mobile Phones,0.11467252075220118
Strategic Communication,0.027536512629729355
IBM System P,0.040514296342966064
SPSS (Statistical Software),1.0743207557046297
Compressors,0.03793161714798527
Notification Services,0.13122115817256325
Communication Sciences,0.24266311606087107
IP Address Management (IPAM),0.028110801856171434
