skill,score
Continuing Care,0.1640203335014286
Corporate Social Responsibility,0.012607148017218597
Wrike,0.14310588091437934
Query Performance,0.024254048143124447
Integrative Medicine,0.037846925907173166
Synchro (Traffic Simulation Software),0.037846925907173166
Software Architecture,0.04852928376656186
Service Locator Patterns,0.27959641826961834
Requirements Management,0.06281523516590576
Urgent Care,0.0347078798306272
Ember CLI,0.35011591696074856
Splunk Development,0.04323906854790225
Audio Production,0.4355895205144963
BigTable,0.0015822639660316668
Economic Research,0.06622574987367372
Mean Stack,14.90180148345898
System Migration,0.030019003197056898
Print Binding,1.8099535123322643
Rundeck,0.04417598177129984
Informatica Powercenter,0.02203197939179553
Card Sorting,2.1461945282972583
Lean Principles,0.0015822639660316668
Interactive Advertising,0.037846925907173166
Plotters,0.021125427642315803
Network Printers,0.11728833806599774
Data Governance,0.08493709154784931
Qualitative Analysis,0.016068626436021284
Echocardiography,0.1640203335014286
Civil Engineering,0.039965105147054515
Nuclear Magnetic Resonance,0.02207524995789123
Equipment Financing,0.7948466005038782
HTML Emails,11.791625877297482
Customer Complaint Resolution,0.04165251361941473
Query Expressions,0.0063137667508162505
Oracle Application Server,0.13099497006624464
Intravenous Therapy,0.27439658329088484
WYSIWYG,0.017179982816426555
Global Positioning Systems,0.07476951135428828
SpyFu (Software),0.037846925907173166
Joint Application Design (JAD),0.16313518939771343
Catering Management,0.1640203335014286
Quickbase,0.10090814784878352
Google Gson (Java Library),0.07586375344142625
Ab Initio (Software),0.039009245998613176
Software As A Service (SaaS),2.2448408521725876
AmplifyJS,0.1640203335014286
Intelligence Gathering,0.0553068972934016
Tabbing,0.1640203335014286
Nmap,0.23128032302764326
Yardi (Property Management Software),0.018480488197405165
Contextual Inquiry,0.6623849080143239
Video Conversion,0.20817083341721113
Point Of Sale,0.15181077943588833
Code Snippets,0.33523019052382946
Rexx (Programming Language),0.3005666183344542
Loan Servicing,0.030019003197056898
Code Insight,0.1640203335014286
Management Accounting,0.03918044465206537
Hardware-In-The-Loop Simulation,0.0017973808802430307
Front And Back Office Application,0.02207524995789123
Business Process Management,0.08976408303585391
Industrial Construction,0.037846925907173166
Distance Learning,0.06919283180176586
Snubbing (Oil And Gas),0.06939027780573703
Codebase,5.400561976968672
Middleware,4.883188549529011
Software Defined Radio (SDR),0.012612244388322067
Confusion Matrix,0.010681307782925092
Product Photography,1.4619426258185728
Resource Allocation,0.2642093899966388
Multiplatform,0.05340653891462544
Requisition,0.0017973808802430307
Pattern Making,0.0017973808802430307
Statistical Analysis,0.5729051356529287
Business Systems,0.4293681223564018
Risk Control Self Assessment,0.0017973808802430307
Internetwork Packet Exchange/Sequenced Packet Exchange (IPX/SPX),0.02203197939179553
Watson Studio,0.13878055561147407
Full-Text Search,0.055118643403462265
MicroStation (CAD Design Software),0.0173539399153136
Outcome And Assessment Information Set (OASIS),0.04165251361941473
Clinical Assay,0.1640203335014286
ColdFusion Markup Language,0.058417824348714946
SonarQube,0.00848006332425417
Windows Presentation Foundation,0.2829720239804648
Function Points,0.02207524995789123
Event Management,0.25694901470779374
Career Management,0.04323906854790225
Test Tools,5.361012879106545
Microsoft Expression Design,0.06939027780573703
Design Verification,0.011721198504855769
Networking Cables,0.09044466092696364
Tax Management,0.07569385181434633
Network Testing,0.021454575662126902
Er Diagrams,0.06443963927286371
Java Platform Micro Edition (J2ME),0.017179982816426555
Polyfills,1.3058489012606125
Handlebars.js (Javascript Library),30.832863092078735
Google Storage,0.017564753798799015
Eslint,6.5633655071488075
Role Hierarchy,0.022085442700098178
Digital Audio Player,0.0015822639660316668
Geocoding,0.05766907930088126
Financial Software,0.040647861681655455
Mobile Phones,0.518140336663658
Strategic Communication,0.055026908723599735
SPSS (Statistical Software),0.1438424084949061
Compressors,0.13878055561147407
Backing Beans,0.042541287211103326
Notification Services,0.11708312082426135
OpenEdge Advanced Business Language,0.0015822639660316668
Thought Leadership,0.042108766242453244
Federal Emergency Management Agency (FEMA),0.06262794975903181
Test Strategy,0.11350474042585168
Signage Systems,0.06939027780573703
Java Applet,0.041094016498945424
Social Psychology,0.0017973808802430307
Automation Protocols,0.1640203335014286
Chunking,0.06939027780573703
Network Mapping,0.050670201279827694
Atlassian Bamboo,0.23244491652851643
Frontify (Software),0.3280406670028572
Looper,0.01262243713052902
Public Key Certificates,0.27711500501147024
Project Estimation,0.04244250166482195
Garbage Collection (Computer Science),0.08519660318985849
Google Cloud Platform (GCP),0.2549791139239579
Database Scanners,0.06939027780573703
Netezza,0.024064249247772063
