skill,score
Capital IQ (Software),0.3267139439195814
Dynamic Controls,0.1097880490313134
Query Performance,0.15829547182368514
Software Architecture,2.8072302242774936
Service Locator Patterns,151.94027819100953
Medical Terminology,0.04064948899105208
Requirements Management,0.1043473954891978
Urgent Care,1.3437197139067356
Ember CLI,0.03951414140276835
Splunk Development,1.030952959238329
Asciidoc,0.25033586428840343
Sharpziplib,0.25033586428840343
BigTable,0.004377187588495835
Mean Stack,13.336429269494278
FedRAMP,0.029325604845602298
IBM Lotus Symphony,0.25033586428840343
System Migration,0.023162587022690737
Service Accounts,0.019515941005209484
Stock Transfer Agent,0.024971430783578982
Print Binding,3.5548144810354394
Rundeck,0.14480554973927998
Factor Analysis,0.08044752763293335
Informatica Powercenter,0.013042619413804463
Card Sorting,0.002341504974883867
Interactive Advertising,0.06293877727895003
Network Printers,0.030230395923490094
Data Governance,0.12675883801262636
Data Normalization,0.4576377836986096
Qualitative Analysis,0.017982692111495776
Civil Engineering,0.05714234486305753
Equipment Financing,0.076378079631178
HTML Emails,0.06006800676141597
Customer Complaint Resolution,0.025137853615493082
Oracle Application Server,8.667624407877598
Intravenous Therapy,0.1580565656110734
WYSIWYG,0.027447334813470933
Global Positioning Systems,2.3122444713965655
Intelligent Networks,0.009396752419106192
Joint Application Design (JAD),1.3675759894430888
Google Gson (Java Library),12.11477077805983
Ab Initio (Software),0.40413211497214613
Software As A Service (SaaS),6.14226130657693
Securities Trading,0.1097880490313134
Intelligence Gathering,0.0091370254169936
Process Transformation,0.00047308160913221996
Nmap,0.209660882128263
Ansible Tower,0.02632524861596366
Point Of Sale,0.12895726384636075
Root Cause Corrective Action,0.2195760980626268
Code Snippets,0.018793504838212384
Rexx (Programming Language),3.98311845923029
Loan Servicing,0.08893985395643403
Virtual Learning Environments,0.03951414140276835
Code Insight,0.25033586428840343
Management Accounting,1.2042415220460538
Hardware-In-The-Loop Simulation,0.009396752419106192
EMC Avamar,0.0255542915866252
Front And Back Office Application,0.2195760980626268
Business Process Management,4.741943759238298
Distance Learning,0.4558386394461102
Codebase,2.1911331335195974
Middleware,61.17065437920389
Seafood Processing,0.31327464156735346
Resource Allocation,0.2629744780621965
Cutover Planning And Management,0.049942861567157965
Multiplatform,0.04568512708496798
Requisition,0.009396752419106192
Cash Flow Statements,0.025459359877059336
VMware Horizon View,0.028272194274323762
Statistical Analysis,0.11526365100769824
Business Systems,0.26591862424911084
Watson Studio,0.2195760980626268
Full-Text Search,4.199202331077804
Outcome And Assessment Information Set (OASIS),0.033088463138569106
Customer Data Integration,0.06293877727895003
ColdFusion Markup Language,0.5096124730087646
Preferred Stock,0.025459359877059336
SonarQube,17.647294819609225
Windows Presentation Foundation,0.4240135846330225
Function Points,0.03951414140276835
Event Management,0.23379040998511352
Federal Unemployment Tax Act,0.25033586428840343
Multiple Inheritance,0.06293877727895003
Life-Cycle Cost Analysis,0.25033586428840343
Document Processing,0.021066813449425646
Design Verification,0.010681506903335247
Test Tools,33.773946746442846
Career Management,0.007977507591709536
Networking Cables,0.05761542647218976
Network Testing,0.025137853615493082
Er Diagrams,1.6510216513874953
Java Platform Micro Edition (J2ME),1.9388002535132527
Handlebars.js (Javascript Library),4.520025095775992
Google Storage,0.3835375449062947
Eslint,0.044010782097570054
Role Hierarchy,6.614212166315437
Digital Audio Player,0.2239532856511226
Geocoding,0.009396752419106192
Benefits Realization Management,0.007335130349595006
Hyperion Financial Reporting,0.25033586428840343
Financial Software,0.10336427661016805
Mobile Phones,0.8618372653119171
Strategic Communication,0.015616853991644572
IBM System P,0.02034881694747372
SPSS (Statistical Software),0.15309471085998697
Backing Beans,14.542230996796052
OpenDJ,0.2195760980626268
Groovy Server Pages,0.25033586428840343
Universal Asynchronous Receiver/Transmitter,0.2596363224607641
Notification Services,7.528106424742525
IP Address Management (IPAM),0.07187719646259118
Request For Information (RFI),0.01737426001081573
Thought Leadership,0.02385182856922808
Federal Emergency Management Agency (FEMA),0.06484451767502897
Test Strategy,1.2193302081985815
Java Applet,14.994295205642166
Open Mobile Alliance Device Management,0.31327464156735346
Tax Deductions,0.01608950552658667
CPU Design,0.2239532856511226
Network Mapping,0.05045484932219956
Atlassian Bamboo,32.33243442864013
Looper,1.9291473243308421
Availability Monitoring,0.021692165241448295
Public Key Certificates,0.25231738811196297
Interlock System,0.25033586428840343
Project Estimation,0.04431795888032733
Garbage Collection (Computer Science),14.451940294884205
Google Cloud Platform (GCP),1.0821288421185353
Netezza,1.9055649642215344
Tax Laws,0.01596525935660931
Merchandising,0.17956586206216965
Operational Planning,0.023162587022690737
Apache CXF,157.3102179192091
Stock Keeping Unit,0.005461794760518463
Hybrid Testing,0.09910654212797815
DCS File Format,0.0790282828055367
Molecular Diagnostics,0.025459359877059336
Adobe Target,1.7846953613518937
Load Generator,0.06293877727895003
Connect-Direct (Internet Protocols Based Network Software),0.0182740508339872
Docker Container,27.45444735944791
Preparing Executive Summaries,0.026744114361288398
Windows Service,0.24088983997340277
Development Support,1.5529339054845392
Integrated Marketing Communications,0.015616853991644572
Institutional Research,0.00047308160913221996
Roofing,0.02224171681625608
API Management,5.384260144119356
spatialNET,0.5006717285768069
Security Devices,0.055130995394412914
macOS Mojave,0.12587755455790006
Functional Interface,1.6684950270849717
Hardware Support,0.048134026236592416
Solar Systems,0.01608950552658667
Cisco Packet Tracer,0.06747674304372593
Patient Comfort,0.25033586428840343
Windows Defender,0.019047448287685845
Medical Statistics,0.2195760980626268
Fault Tolerance,10.605038798146635
Civil Aviation,0.025459359877059336
Shell Script,34.358250485068524
Product Requirements,0.7088752786958548
Office Procedures,0.03857295036876316
Weblogic11g,1.0013434571536137
Simple Random Sample,0.12587755455790006
Spring Cloud Config,20.729281140521067
Structuremap,0.03951414140276835
COBOL (Programming Language),6.700259907938598
TypeScript,21.446934061351456
Amazon Simple Email Service (SES),0.48212030635629616
SAFe Agile,0.6960872998707307
Embedded Firmware,0.012020057524831342
Network Service,0.018551422220510712
SAP Business Intelligence (BI),0.03217901105317334
Newsletters,0.23837717631636754
Base Station Subsystem,1.7815802152845923
Electronic Displays,0.25033586428840343
XPEDITER,0.05091871975411867
Cloudera Impala,0.25033586428840343
Content Pages,2.448448268460017
Security Technology,0.047323213509875804
Virtual Desktops,0.028969348197023945
Analytic Applications,2.4009268136824704
XML Markup Languages,1.2530985662694138
Risk Exposure Management,0.00047308160913221996
Distributed Component Object Model,0.03478246516306594
Database Application,2.056668837480477
Clojure,0.43465555543045153
Jbehave,3.4004565399727538
Identity And Access Management,0.21631994493005685
SQL Server Master Data Services,0.06293877727895003
Lightning Web Components,0.31327464156735346
Wireless Sales,0.01608950552658667
Gamification,0.13167398697379254
Information Technology Operations,0.5225919549833196
Execution Time,0.02347843632726275
Call Center Technology,0.007335130349595006
Quality Improvement,0.028097467505411543
Role-Based Access Control (RBAC),0.01673042744366003
Business Transformation,0.009740962159618517
Entity Relationship Models,9.837643635435438
Typemock,0.25033586428840343
Web Application Development,18.081873549523156
2D Computer Graphics,0.31327464156735346
Virtual Terminal,0.004377187588495835
Apache Karaf,2.9415629554942617
NgRx Effects,0.01608950552658667
Coverity,0.3918757316798437
Architectural Design,12.984353628538308
Information Retrieval,0.05915240410913183
Distributed Denial-Of-Service (DDoS) Attacks,0.07619022322493352
Fail2ban,0.06583699348689627
Property Insurance,0.7735393781813875
Microsoft Dynamics 365,0.025648936580064317
Process Optimization,0.02120655258445883
Jasmine (JavaScript Testing Framework),38.45327866059702
