skill,score
Milling,0.00581447345382998
Query Performance,0.04177483779055048
Wrike,0.007199202833708802
Stateful Firewall,0.5089730072895058
Software Architecture,0.12888485565876762
Backup Domain Controller,0.20210182634425058
Medical Terminology,0.015939879335742733
Requirements Management,0.0688392615746967
Urgent Care,0.02241267897833554
Splunk Development,0.015318596687844724
Wireless Application Protocol (WAP),0.052398281354510336
Audio Production,0.0035656941558057996
Mean Stack,0.02209028449208023
FedRAMP,0.02974753143103314
System Migration,0.07934962817117701
Microsoft Dynamics Sl,0.0748585745218742
Service Accounts,0.20363273588862815
Factoring (Finance),0.12724325182237645
Print Binding,0.05091068357882844
Rundeck,0.0348868407229799
Cable Installations,0.4223734863465505
Informatica Powercenter,0.044506008553260736
Sprinkler Systems,0.05489991573044325
Gamma Camera,0.12724325182237645
Tigerpaw One,0.20959312541804134
Interactive Advertising,0.027449957865221624
E-MDs (EMR/EHR System),0.014975796120577273
Plotters,0.6502974408112748
Network Printers,12.365250233144494
Data Governance,0.10616776497809047
Data Normalization,0.025578547138229987
Legal Databases,0.027449957865221624
Civil Engineering,0.004648681603414113
Linux Support,0.6451411903463281
Nuclear Magnetic Resonance,0.014975796120577273
HTML Emails,0.11029625289874843
Customer Complaint Resolution,0.5659504132231404
Oracle Application Server,0.13238062512415233
Intravenous Therapy,0.013091067804872519
Global Positioning Systems,0.07610580996615253
Intelligent Networks,0.25236167997110764
Joint Application Design (JAD),0.07781156117856454
Quickbase,0.01744342036148995
Doppler Ultrasonography,0.1546932096875981
Software As A Service (SaaS),0.9090597599864834
Liquid Oxygen,0.12724325182237645
Intelligence Gathering,0.0011650651381291163
Reservoir Engineering,0.052398281354510336
Dispatch Coordination,0.2544865036447529
Healthcare Customer Service,0.052398281354510336
Process Transformation,0.00581447345382998
Nmap,3.1161430505750896
Ansible Tower,0.0106970824674174
Yardi (Property Management Software),0.05777836080866384
Network Adapters,0.3012986203221894
Point Of Sale,0.37555934525631496
Access Rules,1.8189164370982551
Root Cause Corrective Action,0.014975796120577273
Code Snippets,0.011754550475089196
Rexx (Programming Language),0.038523593506042106
Vacuum Systems,0.052398281354510336
Loan Servicing,0.018401015034011665
Virtual Learning Environments,0.014975796120577273
Management Accounting,0.04765209087034305
EMC Avamar,0.6598805950346044
Business Process Management,0.07758299627610014
Distance Learning,0.06908564776399746
Q.931,0.12724325182237645
Snubbing (Oil And Gas),0.052398281354510336
Codebase,0.12124163624201409
Freeipa,0.09444701700593959
Middleware,0.6192103415315933
Seafood Processing,0.027449957865221624
Software Defined Radio (SDR),0.20210182634425058
Confusion Matrix,0.0011650651381291163
Resource Allocation,0.11974102768696158
Cutover Planning And Management,0.015524318554621584
Cash Flow Statements,0.007491299073790657
Multiplatform,0.05177493662342147
