skill,score
Milling,0.0776189472189709
Capital IQ (Software),0.007626102640160505
Corporate Social Responsibility,0.18918470675748278
IBM - Tivoli Change And Configuration Management Database,0.12158465396770689
Query Performance,0.11724034935098393
Wrike,1.3694937221107677
Integrative Medicine,0.025872982406323634
Software Architecture,0.12664907039688647
Medical Terminology,0.11271245754299414
Requirements Management,3.409531706179271
Urgent Care,0.04442448827043947
Audio Production,0.014426668777416683
Aseptic Processing,0.09960180059333891
Health Care Finance Administration (HCFA) Regulations,0.1186382350309923
Economic Research,0.003890129031955645
Mean Stack,0.10136858191100218
FedRAMP,0.02245182374017361
Legacy System Migration Workbench,0.1186382350309923
IBM Lotus Symphony,0.12158465396770689
System Migration,0.8614943792298156
Microsoft Dynamics Sl,0.006730648094046982
Service Accounts,0.020994905574004005
Stock Transfer Agent,0.03344432957525556
Open Access,0.12158465396770689
Print Binding,0.03696241370765916
Cable Installations,0.0380728688753068
Factor Analysis,0.024823372436459334
Informatica Powercenter,0.04908057732011331
Cesarean Section,0.12158465396770689
Employee Surveys,0.24316930793541378
Sprinkler Systems,0.0019450645159778226
Lean Principles,0.19920360118667782
Tigerpaw One,0.0955648856367303
Interactive Advertising,0.14745763637403053
E-MDs (EMR/EHR System),0.01390902346115073
Plotters,0.05495797386347212
Network Printers,0.03801555802454495
Data Governance,2.3550861869995585
Data Normalization,0.1205346075177268
Qualitative Analysis,0.3307437784810547
Legal Databases,0.025872982406323634
Civil Engineering,0.20255551516157252
Linux Support,0.05952622287655854
Nuclear Magnetic Resonance,0.01390902346115073
Equipment Financing,0.012411686218229667
Pump Stations,0.025872982406323634
HTML Emails,0.13428671627144712
Customer Complaint Resolution,0.028528514959914042
Oracle Application Server,0.1562366659929688
Intravenous Therapy,0.01300988416548831
WYSIWYG,0.05929602212977769
Global Positioning Systems,0.07571853041670039
Catering Management,0.12158465396770689
Joint Application Design (JAD),3.2185019755814905
Quickbase,1.0095070082164517
Doppler Ultrasonography,0.14745763637403053
Google Gson (Java Library),0.02045553946647358
Ab Initio (Software),0.05358757078689438
Software As A Service (SaaS),2.771843684284524
Securities Trading,0.049800900296669455
Intelligence Gathering,0.03344432957525556
Bidding Documents,0.12158465396770689
Healthcare Customer Service,0.049800900296669455
Process Transformation,0.44237290912209154
Nmap,0.3725864574730814
Yardi (Property Management Software),0.37860534103877574
Point Of Sale,1.520825646062479
Access Rules,0.028322072336006993
Rexx (Programming Language),0.07811473688970147
Loan Servicing,0.22769316391954833
Virtual Learning Environments,0.09960180059333891
Management Accounting,0.29857539118424575
EMC Avamar,0.023605753995359847
Hardware-In-The-Loop Simulation,0.0014732094683572946
Business Process Management,0.28125914794447426
Industrial Construction,0.14745763637403053
Foreign Keys,0.025570198683145414
Distance Learning,0.031266937566639424
INgage Networks,0.12158465396770689
Codebase,0.18402616283543186
Energy Supply,0.049800900296669455
Freeipa,0.010939198963439156
Middleware,1.1917359395518368
Software Defined Radio (SDR),0.07088829912492392
Product Photography,0.029616325513626304
Resource Allocation,15.672661082570816
Cutover Planning And Management,1.769073814698408
Multiplatform,0.05238280848752032
Cash Flow Statements,0.07088829912492392
Requisition,0.0380728688753068
Microsoft Sysprep,0.029959120666582337
VMware Horizon View,0.06854649832529468
Financial Process Improvement,0.12158465396770689
Sales Force Management Systems,0.025872982406323634
Statistical Analysis,0.572629614498271
Business Systems,3.812890051458352
Risk Control Self Assessment,0.0380728688753068
Internetwork Packet Exchange/Sequenced Packet Exchange (IPX/SPX),0.02350622446322668
MicroStation (CAD Design Software),0.13923702053616033
Export Control,0.05174596481264727
College Recruitment,0.09960180059333891
Outcome And Assessment Information Set (OASIS),0.06730648094046988
Full-Text Search,0.020677694216712766
Customer Data Integration,0.025872982406323634
Workforce Investment Act,0.12158465396770689
ColdFusion Markup Language,0.014426668777416683
HP Thin Clients,0.166177093401381
Microsoft Enterprise Project Management,0.3647539619031207
SonarQube,0.10990379997252839
Windows Presentation Foundation,0.32571460134285596
Event Management,0.437492126113054
Sisense,0.12158465396770689
Operating Room Management,0.12158465396770689
Document Processing,0.02139312681004625
Career Management,0.4638262631233435
Test Tools,0.5556996537341826
Design Verification,0.011728031421362643
Networking Cables,0.29890038979092914
Network Testing,0.2550246815397817
Tax Management,0.0019450645159778226
Er Diagrams,0.10525572713118375
Java Platform Micro Edition (J2ME),0.017632322848850572
CNSSI 1253,0.0019450645159778226
Handlebars.js (Javascript Library),0.21361530588741887
Google Storage,0.01574078783775604
Eslint,0.03598973411862071
Digital Audio Player,0.00403691495660863
Benefits Realization Management,1.2058276452478738
British Hospitality Association,0.12158465396770689
Financial Software,0.5463710544571829
Mobile Phones,0.12924083539638712
Strategic Communication,0.4494625649456603
Bazel,0.01390902346115073
SPSS (Statistical Software),0.5907944371083407
Compressors,0.09960180059333891
Diversification (Investing),0.025872982406323634
Universal Asynchronous Receiver/Transmitter,0.017032249672917135
Notification Services,0.02106841065244395
IP Address Management (IPAM),0.05532821947721714
OpenEdge Advanced Business Language,0.00403691495660863
Radiology Equipment,0.14745763637403053
Request For Information (RFI),0.355914705092977
Thought Leadership,2.1210510539084413
SAP Jam,0.12158465396770689
Federal Emergency Management Agency (FEMA),0.6569475206619084
Microsoft Virtual Servers,0.014808162756813152
Test Strategy,0.04875357957170857
Signage Systems,0.049800900296669455
Java Applet,0.10253103919896538
Social Psychology,0.1186382350309923
Automation Protocols,0.12158465396770689
Cardiac Stress Testing,0.049800900296669455
CPU Design,0.00403691495660863
Network Mapping,0.008699846475922727
Atlassian Bamboo,0.18998081911954798
Metropolitan Area Networks,0.00403691495660863
Oracle iProcurement,0.1464562819532938
Propensity Modeling,0.12158465396770689
Balanced Budgeting,0.006730648094046982
Warehouse Operations,0.07899034805194281
Availability Monitoring,0.01735164346010751
Public Key Certificates,0.2633824711031837
Hyperparameter Optimization,0.025872982406323634
Leveraged Buyout,0.12158465396770689
