skill,score
Capital IQ (Software),0.0016772565503768767
Corporate Social Responsibility,0.004479108022781841
Query Performance,0.15255718369353524
Software Architecture,0.001470685612318206
Service Locator Patterns,0.15836988553522124
Medical Terminology,0.03793714226765066
Requirements Management,0.1029932049803499
Urgent Care,0.0654708204606898
Splunk Development,0.01767131782240768
Differential Equations,0.5340451039985138
Aseptic Processing,0.0570845377088054
BigTable,0.3097718160224875
Economic Research,0.004479108022781841
Mean Stack,1.345653179082332
Sequence Alignment,0.33412094350094795
System Migration,0.02527763698615591
Service Accounts,0.020485655912994522
Stock Transfer Agent,0.04313409957347167
Print Binding,0.0493979331604425
Rundeck,3.0938109854957716
Factor Analysis,5.183620427268983
Informatica Powercenter,0.8797457271398891
Plotters,0.027230890140977123
Data Governance,0.27947289490892685
Data Normalization,0.04960498580803282
Qualitative Analysis,0.018470845689051673
Sales Excellence,0.33412094350094795
Civil Engineering,0.046251996793194916
Linux Support,0.02158012072600052
Equipment Financing,0.010635472595940566
HTML Emails,0.033589519692242775
Oracle Application Server,1.7288420180646544
Global Positioning Systems,0.09794722545536919
Intelligent Networks,0.017507908309927885
Joint Application Design (JAD),0.07400748436881434
Quickbase,0.02158012072600052
OpenUP,0.33412094350094795
Google Gson (Java Library),0.0704164429901337
Ab Initio (Software),1.933059932641178
Software As A Service (SaaS),1.9910696211256327
Securities Trading,0.14943000630618627
Nmap,0.4061239826382919
Ansible Tower,2.360765260881679
Yardi (Property Management Software),0.022068721088949625
Point Of Sale,0.08751665602009061
Code Snippets,0.03501581661985577
Rexx (Programming Language),0.27654747160618387
Loan Servicing,0.030588686167472717
Management Accounting,0.04846921255986594
Hardware-In-The-Loop Simulation,0.14055349501686246
EMC Avamar,0.04316024145200104
Foreign Keys,0.02434912747846049
Distance Learning,0.030810546859786018
Codebase,2.8539349811795427
Freeipa,0.006846940550919813
Middleware,5.450358339540077
Seafood Processing,0.42198730407554697
Software Defined Radio (SDR),0.03861544398932921
Confusion Matrix,3.668483437959508
Resource Allocation,0.17324354648988838
Multiplatform,0.2156704978673584
VMware Horizon View,0.03199206474353543
Statistical Analysis,145.774482388406
Business Systems,0.1886142345862978
Full-Text Search,2.1339655178026335
MicroStation (CAD Design Software),0.01987001945567865
Outcome And Assessment Information Set (OASIS),0.040971311825989044
ColdFusion Markup Language,0.01581977960491633
Preferred Stock,0.22498363773446778
SonarQube,0.48121208124589177
Windows Presentation Foundation,0.4127120380519653
Function Points,0.0570845377088054
Event Management,0.2731880502897311
Multiple Inheritance,0.08786636057459901
Gurobi,0.14943000630618627
Document Processing,0.377301478438132
Design Verification,0.03501581661985577
Test Tools,23.558459984237263
Network Testing,0.039294055275612166
Er Diagrams,14.162493698479476
Java Platform Micro Edition (J2ME),0.005042281468583633
Handlebars.js (Javascript Library),0.1792894992197468
Google Storage,1.555399621144467
Eslint,0.004558370517286329
Geocoding,0.017507908309927885
Financial Software,0.07122216519180004
Mobile Phones,0.1489902359763166
Strategic Communication,0.005042281468583633
IBM System P,0.02158012072600052
SPSS (Statistical Software),2.4784662384857605
Backing Beans,0.05479745892000775
Diversification (Investing),0.08786636057459901
WebWorks (Documentation System),0.03861544398932921
Universal Asynchronous Receiver/Transmitter,2.696575445221344
Notification Services,4.528269736146121
IP Address Management (IPAM),0.10183250234821532
Thought Leadership,0.0457186068301766
Federal Emergency Management Agency (FEMA),0.0637013133048946
Test Strategy,4.298681945510363
Java Applet,1.4506002903341373
Open Mobile Alliance Device Management,0.08786636057459901
Tax Deductions,0.4482900189185588
CPU Design,0.5977200252247451
Network Mapping,0.45963049803424605
