skill,score
IBM - Tivoli Change And Configuration Management Database,0.29262970922327974
Query Performance,0.03141600834393229
Wrike,0.021880089953707417
Stateful Firewall,0.25951712644182284
Software Architecture,0.1048742640778078
Backup Domain Controller,0.19436866804087544
Medical Terminology,0.1605586579177963
Requirements Management,0.2617167408925446
Urgent Care,0.2516768727248806
Splunk Development,0.35973986103366384
Health Care Finance Administration (HCFA) Regulations,0.11991328701122134
Economic Research,0.14496897065918163
Mean Stack,0.032337005895731394
FedRAMP,37.748292289811836
Legacy System Migration Workbench,0.013422030362076856
Service Accounts,0.27039340379807897
System Migration,0.11826294958613714
Stormwater Management,0.29262970922327974
Logistics Engineering,0.29262970922327974
Stock Transfer Agent,0.03400323197700507
Rundeck,0.027080318114702573
Factor Analysis,0.022254506381299066
Informatica Powercenter,0.02753651899002348
Tigerpaw One,0.007605203719135134
Lean Principles,0.2671223301609579
Interactive Advertising,0.07546818122012194
E-MDs (EMR/EHR System),0.04832299021972723
Plotters,0.2755764430621846
Network Printers,4.413532264047295
Data Governance,0.8665430296499108
Qualitative Analysis,0.1044531539685261
Civil Engineering,0.0358043506863734
Linux Support,0.13605031943043436
Equipment Financing,0.011396429981141177
HTML Emails,0.03163863575881109
Customer Complaint Resolution,0.002691767904916446
Oracle Application Server,0.14090839071745836
Intravenous Therapy,0.012753689531160912
WYSIWYG,0.023241604235858873
Global Positioning Systems,0.05206245721488188
Intelligent Networks,0.013422030362076856
Joint Application Design (JAD),0.041174235779132526
Doppler Ultrasonography,0.07546818122012194
Software As A Service (SaaS),0.4090586262196442
Intelligence Gathering,0.12617614612044678
Reservoir Engineering,0.12975856322091142
Process Transformation,0.003081005219069344
Nmap,64.14013812875243
Yardi (Property Management Software),0.005365131228580193
Network Adapters,0.19329196087890893
IMacros,0.3680978904434017
Video Conversion,0.021177799219332494
Point Of Sale,0.016133618585265425
Access Rules,0.3927459321959563
Code Snippets,0.026844060724153712
Rexx (Programming Language),0.07700483461438329
Vacuum Systems,0.12975856322091142
Cyber Hygiene,0.29262970922327974
Loan Servicing,0.020103136775651145
Management Accounting,0.2240424451140203
EMC Avamar,0.045047366343581426
