skill,score
Continuing Care,0.006557107658208762
Milling,0.01288175061948836
Capital IQ (Software),0.007589571553535512
Corporate Social Responsibility,0.0003486970453937404
Dynamic Controls,0.013114215316417524
Query Performance,0.16155494834173512
Wrike,0.0096518457638198
Integrative Medicine,0.002263190785045973
Synchro (Traffic Simulation Software),0.004293916873162789
Software Architecture,0.9231355914335185
Service Locator Patterns,5.186572588326988
Medical Terminology,0.03934804449604965
Requirements Management,0.09223744325512759
Urgent Care,0.038281608268261595
Ember CLI,0.02622843063283505
Splunk Development,0.0106429896219686
Differential Equations,0.03503927427851354
Asciidoc,0.006557107658208762
Wireless Application Protocol (WAP),0.013114215316417524
Audio Production,0.010850321371368734
Aseptic Processing,0.0033657280904528146
Health Care Finance Administration (HCFA) Regulations,0.0030094444508858924
Sharpziplib,0.006557107658208762
BigTable,0.01949697445192941
Economic Research,0.017175667492651155
Mean Stack,2.597700842078553
Sequence Alignment,0.006557107658208762
FedRAMP,0.06523896370886217
Legacy System Migration Workbench,0.0035476632073228693
IBM Lotus Symphony,0.006557107658208762
System Migration,0.030501621389806874
Service Accounts,0.015257058860662464
Stock Transfer Agent,0.022375806159589944
Open Access,0.006557107658208762
Print Binding,0.42476598525330184
Rundeck,0.06656825512718438
Factor Analysis,0.10880082618487687
Informatica Powercenter,0.12767515483791073
Employee Surveys,5.811617423228921e-05
Sprinkler Systems,0.004468265395859657
Card Sorting,0.12458504550596644
Lean Principles,0.005019534048563078
Interactive Advertising,0.004293916873162789
Cypher Query Language,0.013114215316417524
Plotters,0.02617623934593078
Network Printers,0.1620163452504268
Data Governance,0.12717918356890667
Data Normalization,0.027277236873930348
Qualitative Analysis,0.018332100414182498
Sales Excellence,0.006557107658208762
Echocardiography,0.006557107658208762
Civil Engineering,0.025380513424112554
Linux Support,0.011386613692623407
Nuclear Magnetic Resonance,0.0033657280904528146
Equipment Financing,0.046932217502788066
Pump Stations,0.004293916873162789
HTML Emails,1.3325506465705486
Customer Complaint Resolution,0.0402725047369692
Query Expressions,0.0655710765820876
Oracle Application Server,0.41495453845735175
Intravenous Therapy,0.05299318337356377
Arithmetic Logic Unit,0.006557107658208762
WYSIWYG,0.1436490939327109
Kannada Language,0.006557107658208762
Global Positioning Systems,0.3544147359266827
SpyFu (Software),0.01967132297462628
Joint Application Design (JAD),0.014455075696316844
Catering Management,0.006557107658208762
Intelligent Networks,0.0030094444508858924
Quickbase,0.014114733871527707
OpenUP,0.006557107658208762
Google Gson (Java Library),0.5773560069984155
Ab Initio (Software),0.10563388941767321
Software As A Service (SaaS),1.312236307665846
AmplifyJS,0.006557107658208762
Securities Trading,0.013114215316417524
Intelligence Gathering,0.003155230382457613
Tabbing,0.006557107658208762
Reservoir Engineering,5.811617423228921e-05
Bidding Documents,0.006557107658208762
Healthcare Customer Service,5.811617423228921e-05
Process Transformation,0.0074664810511768575
Nmap,0.3237768169015206
Ansible Tower,0.008701605034780305
Yardi (Property Management Software),0.02302946447090591
Network Adapters,0.012577893208523837
Contextual Inquiry,0.021760165236975392
IMacros,0.004293916873162789
Video Conversion,0.021760165236975392
Point Of Sale,0.15315151251087186
Access Rules,0.021989200856957502
Root Cause Corrective Action,0.00011623234846457842
Code Snippets,0.07295698386789479
Rexx (Programming Language),0.2912151177437742
Loan Servicing,0.026255078496509106
Virtual Learning Environments,0.0033657280904528146
Code Insight,0.006557107658208762
Management Accounting,0.0051760783238529754
Hardware-In-The-Loop Simulation,0.02800226223649647
