skill,score
Milling,0.033914562327623375
Capital IQ (Software),0.00841491920997674
Corporate Social Responsibility,0.00982347444706135
Query Performance,0.1571755911529816
Wrike,0.011474947795976673
Stateful Firewall,0.05078081296010778
Software Architecture,0.15846085555957884
Backup Domain Controller,0.10152521370768461
Service Locator Patterns,0.04964079241631252
Medical Terminology,0.012090572993763642
Requirements Management,0.089327652659229
Urgent Care,0.04031390200352794
Splunk Development,0.014378760086706095
Differential Equations,0.010365226461324662
Audio Production,0.015940224586005306
Health Care Finance Administration (HCFA) Regulations,0.014560821149360668
BigTable,0.0063020863543498265
Economic Research,0.005561396523276607
Mean Stack,0.07930069874426267
FedRAMP,0.11791617814509875
Service Accounts,1.1366235996481784
Microsoft Dynamics Sl,0.20297760299030737
System Migration,0.033219378151726944
Stock Transfer Agent,0.007910465642984428
Open Access,0.06764706359259218
Print Binding,0.029609900571062622
Rundeck,0.13079570176209404
Cable Installations,0.0580612235347881
Informatica Powercenter,0.04963005782706307
Employee Surveys,0.02539040648005389
Sprinkler Systems,0.022609708218415583
Tigerpaw One,0.3995802952012032
E-MDs (EMR/EHR System),0.05078081296010778
Plotters,0.8034557534717481
Network Printers,12.121789580073454
Data Governance,0.15238267112407958
Data Normalization,0.0030530098561077942
Qualitative Analysis,0.018366444133136695
Civil Engineering,0.07671740262812539
Linux Support,0.8095155503995609
Equipment Financing,0.01123202968414596
Pump Stations,0.011304854109207792
HTML Emails,0.0874306290795093
Customer Complaint Resolution,0.0663937438584616
Oracle Application Server,0.16145517521766237
Intravenous Therapy,0.011584168493417112
WYSIWYG,0.023488463177080726
Global Positioning Systems,0.05276703483861993
Intelligent Networks,0.014560821149360668
Joint Application Design (JAD),0.15791628098405483
Quickbase,0.01738303854470704
Doppler Ultrasonography,0.011304854109207792
Google Gson (Java Library),0.05307975755545647
Software As A Service (SaaS),0.5874628876842883
Intelligence Gathering,0.007728404580329852
Reservoir Engineering,0.02539040648005389
Dispatch Coordination,0.02539040648005389
Nmap,1.388952599927491
Ansible Tower,0.5637757364703487
Railhead,0.06764706359259218
Yardi (Property Management Software),0.13317075876471515
Network Adapters,0.27605239757209055
IMacros,0.011304854109207792
Video Conversion,0.0027806982616383033
Point Of Sale,0.47704179505322974
Access Rules,0.47403921612357797
Root Cause Corrective Action,0.004262077923784744
Rexx (Programming Language),0.05070125203362524
Vacuum Systems,0.02539040648005389
Cyber Hygiene,0.06764706359259218
Loan Servicing,0.018968333197534597
Management Accounting,0.0060858835351637695
EMC Avamar,1.8294481739621515
Hardware-In-The-Loop Simulation,0.004792920028902032
Business Process Management,0.0730263990532142
Foreign Keys,0.02682938227165041
Distance Learning,0.0948493580823911
ISO/IEC 17024,0.1395562051089691
INgage Networks,0.06764706359259218
Codebase,0.2258176627196983
Freeipa,0.6010951677529999
Middleware,1.2744640317376275
Software Defined Radio (SDR),0.033878150115092445
Confusion Matrix,0.010365226461324662
Resource Allocation,0.1807240025377427
Cutover Planning And Management,0.020730452922649325
Multiplatform,0.9295842668676617
Requisition,0.004792920028902032
Microsoft Sysprep,1.2444323234454988
VMware Horizon View,4.900072803857601
Statistical Analysis,0.45533988044762047
Business Systems,1.2457718887072622
Allen-Bradley Controls,0.13529412718518435
Internetwork Packet Exchange/Sequenced Packet Exchange (IPX/SPX),1.3369441024307862
Full-Text Search,0.04368402618812874
Export Control,0.022609708218415583
MicroStation (CAD Design Software),0.05448426211547387
Outcome And Assessment Information Set (OASIS),0.24405376479377694
ColdFusion Markup Language,0.012418181462743524
HP Thin Clients,0.374786702171579
SonarQube,0.13269939388864116
Windows Presentation Foundation,0.28989790263501974
Function Points,0.004262077923784744
Event Management,0.0372851077969876
Cell Signaling,0.06764706359259218
Document Processing,0.02437048196553288
Career Management,0.04368246344808201
Test Tools,0.43665116272788757
Design Verification,0.0037312358186674536
Microsoft Expression Design,0.02539040648005389
Networking Cables,4.362034069826278
Network Testing,0.5062270999541689
Tax Management,0.0027806982616383033
Er Diagrams,0.08551462074283032
CNSSI 1253,0.07617121944016166
Handlebars.js (Javascript Library),0.07920301807594889
Google Storage,0.019034533573651133
Eslint,0.04003458761931862
Role Hierarchy,0.028098280316630357
Geocoding,0.004792920028902032
Financial Software,0.10170519111694355
Mobile Phones,0.2429533532871077
Strategic Communication,0.02897460434633391
Therapeutic Interventions,0.06764706359259218
IBM System P,1.5346704523609584
SPSS (Statistical Software),0.1516348960362008
Compressors,0.05078081296010778
Bind9,0.1395562051089691
OpenDJ,0.05078081296010778
WebWorks (Documentation System),0.033878150115092445
Universal Asynchronous Receiver/Transmitter,0.02437048196553288
