skill,score
Continuing Care,0.053327521823430424
Milling,0.007573412111578684
Capital IQ (Software),0.0029666374361555503
Corporate Social Responsibility,0.03060728548869437
Query Performance,0.1426634876323805
Wrike,0.0060648688321817265
Integrative Medicine,0.007651821372173593
Synchro (Traffic Simulation Software),0.007651821372173593
Software Architecture,0.45193758040827087
Service Locator Patterns,7.948607173529818
Medical Terminology,0.04097425106478164
Requirements Management,0.11100597142076794
Urgent Care,0.03973101011306499
Ember CLI,0.2133100872937217
Splunk Development,0.005633606538541655
Differential Equations,0.009290965190944953
Asciidoc,0.053327521823430424
Wireless Application Protocol (WAP),0.019070746484987803
Audio Production,0.10929425566292224
Health Care Finance Administration (HCFA) Regulations,0.00877854267988192
BigTable,0.0038847176315329785
Economic Research,0.03060728548869437
Mean Stack,5.0769687045744165
FedRAMP,0.014836469921429897
Legacy System Migration Workbench,0.00539837875675693
IBM Lotus Symphony,0.053327521823430424
System Migration,0.031116634040031073
Stock Transfer Agent,0.02358025465003947
Print Binding,0.9494029513071321
Rundeck,0.03413916144755026
Informatica Powercenter,0.025727071220341152
Sprinkler Systems,0.0037671037406406148
Card Sorting,0.20873734660695306
Lean Principles,0.006621835018844165
Interactive Advertising,0.007651821372173593
Plotters,0.013696603838739925
Network Printers,0.11323047707373902
Data Governance,0.12318314473243101
Data Normalization,0.13602414722536393
Qualitative Analysis,0.017529815828911416
Echocardiography,0.053327521823430424
Civil Engineering,0.026095293772402106
Linux Support,0.012648489939496108
Nuclear Magnetic Resonance,0.0019423588157664892
Equipment Financing,0.4754977402566405
HTML Emails,4.619948391231292
Customer Complaint Resolution,0.033225647438525116
Query Expressions,0.31699849350442694
Oracle Application Server,0.30385690148624206
Intravenous Therapy,0.21017559062063818
WYSIWYG,0.28852259814116593
Kannada Language,0.053327521823430424
Global Positioning Systems,0.005835574126117131
SpyFu (Software),0.06097934319560401
Joint Application Design (JAD),0.10272923033815724
Quickbase,0.02014349279047989
OpenUP,0.053327521823430424
Google Gson (Java Library),0.47541566077533687
Ab Initio (Software),0.05374514547879152
Software As A Service (SaaS),0.8997613536566895
AmplifyJS,0.053327521823430424
Intelligence Gathering,0.0558266839575052
Tabbing,0.053327521823430424
Reservoir Engineering,0.019070746484987803
Nmap,0.2284125063676305
Ansible Tower,0.02556408923835629
Yardi (Property Management Software),0.012739116329280348
Contextual Inquiry,0.015303642744347186
IMacros,0.06097934319560401
Video Conversion,0.2095429835530811
Point Of Sale,0.14437067093497896
Access Rules,0.03185537642498742
Code Snippets,0.08506152861983313
Rexx (Programming Language),0.02541335891398659
Loan Servicing,0.0029783053324857305
Code Insight,0.053327521823430424
Management Accounting,0.05430292201076075
EMC Avamar,0.013917259396475465
Front And Back Office Application,0.0019423588157664892
Business Process Management,0.05244368802569519
Foreign Keys,0.0013908275002032107
Distance Learning,0.00945812400550985
Energy Supply,0.019070746484987803
Codebase,2.990296306217746
Freeipa,0.009915755724463649
Middleware,5.8039195919234
Seafood Processing,0.06097934319560401
Software Defined Radio (SDR),0.0014833187180777752
